     grain   ntopple      hsum      hmax
         1         0         1         1
         2         0         2         1
         3         0         3         1
         4         0         4         1
         5         0         5         1
         6         0         6         1
         7         0         7         1
         8         0         8         1
         9         0         9         1
        10         0        10         1
        11         0        11         2
        12         0        12         2
        13         0        13         2
        14         0        14         2
        15         0        15         2
        16         0        16         2
        17         0        17         2
        18         0        18         2
        19         0        19         2
        20         0        20         2
        21         0        21         2
        22         0        22         2
        23         0        23         2
        24         0        24         2
        25         0        25         2
        26         0        26         2
        27         0        27         2
        28         0        28         2
        29         0        29         2
        30         0        30         2
        31         0        31         2
        32         0        32         2
        33         0        33         2
        34         0        34         2
        35         0        35         2
        36         0        36         2
        37         0        37         2
        38         0        38         2
        39         0        39         2
        40         0        40         2
        41         0        41         2
        42         0        42         2
        43         0        43         2
        44         0        44         2
        45         0        45         2
        46         0        46         2
        47         0        47         2
        48         0        48         2
        49         0        49         2
        50         0        50         2
        51         0        51         2
        52         0        52         2
        53         0        53         2
        54         0        54         2
        55         0        55         2
        56         0        56         2
        57         0        57         2
        58         0        58         2
        59         0        59         2
        60         0        60         2
        61         0        61         2
        62         0        62         2
        63         0        63         2
        64         0        64         2
        65         0        65         2
        66         0        66         2
        67         0        67         2
        68         0        68         2
        69         0        69         2
        70         0        70         2
        71         0        71         2
        72         0        72         2
        73         0        73         2
        74         0        74         2
        75         0        75         2
        76         0        76         2
        77         0        77         2
        78         0        78         2
        79         0        79         2
        80         0        80         2
        81         0        81         2
        82         0        82         2
        83         0        83         2
        84         0        84         2
        85         0        85         2
        86         0        86         2
        87         0        87         2
        88         0        88         2
        89         0        89         2
        90         0        90         2
        91         0        91         2
        92         0        92         2
        93         0        93         2
        94         0        94         2
        95         0        95         2
        96         0        96         2
        97         0        97         2
        98         0        98         2
        99         0        99         2
       100         0       100         2
       101         0       101         2
       102         0       102         2
       103         0       103         2
       104         0       104         2
       105         0       105         2
       106         0       106         2
       107         0       107         2
       108         0       108         2
       109         0       109         2
       110         0       110         2
       111         0       111         2
       112         0       112         2
       113         0       113         2
       114         0       114         2
       115         0       115         2
       116         0       116         2
       117         0       117         2
       118         0       118         2
       119         0       119         2
       120         0       120         2
       121         0       121         2
       122         0       122         2
       123         0       123         2
       124         0       124         2
       125         0       125         2
       126         0       126         2
       127         0       127         2
       128         0       128         2
       129         0       129         2
       130         0       130         2
       131         0       131         2
       132         1       132         2
       133         0       133         2
       134         0       134         2
       135         0       135         2
       136         0       136         2
       137         0       137         2
       138         0       138         2
       139         0       139         2
       140         0       140         2
       141         0       141         2
       142         0       142         2
       143         0       143         2
       144         0       144         2
       145         0       145         2
       146         0       146         2
       147         0       147         2
       148         0       148         2
       149         0       149         2
       150         0       150         2
       151         0       151         2
       152         0       152         2
       153         0       153         2
       154         0       154         2
       155         0       155         2
       156         0       156         2
       157         0       157         2
       158         0       158         2
       159         0       159         2
       160         0       160         2
       161         0       161         2
       162         0       162         2
       163         0       163         2
       164         0       164         2
       165         0       165         2
       166         0       166         2
       167         0       167         2
       168         0       168         2
       169         0       169         2
       170         0       170         2
       171         0       171         2
       172         0       172         2
       173         0       173         2
       174         0       174         2
       175         0       175         2
       176         0       176         2
       177         0       177         2
       178         0       178         2
       179         0       179         2
       180         0       180         2
       181         0       181         2
       182         0       182         2
       183         0       183         2
       184         0       184         2
       185         0       185         2
       186         0       186         2
       187         0       187         2
       188         0       188         2
       189         0       189         2
       190         0       190         2
       191         0       191         2
       192         0       192         2
       193         0       193         2
       194         0       194         2
       195         0       195         2
       196         0       196         2
       197         0       197         2
       198         0       198         2
       199         0       199         2
       200         0       200         2
       201         0       201         2
       202         0       202         2
       203         0       203         2
       204         0       204         2
       205         0       205         2
       206         0       206         2
       207         0       207         2
       208         0       208         2
       209         0       209         2
       210         0       210         2
       211         0       211         2
       212         0       212         2
       213         0       213         2
       214         0       214         2
       215         0       215         2
       216         0       216         2
       217         0       217         2
       218         0       218         2
       219         0       219         2
       220         0       220         2
       221         0       221         2
       222         0       222         2
       223         0       223         2
       224         0       224         2
       225         0       225         2
       226         1       226         2
       227         0       227         2
       228         0       228         2
       229         0       229         2
       230         0       230         2
       231         0       231         2
       232         0       232         2
       233         0       233         2
       234         0       234         2
       235         0       235         2
       236         0       236         2
       237         0       237         2
       238         0       238         2
       239         0       239         2
       240         0       240         2
       241         0       241         2
       242         0       242         2
       243         0       243         2
       244         0       244         2
       245         0       245         2
       246         0       246         2
       247         0       247         2
       248         0       248         2
       249         0       249         2
       250         0       250         2
       251         0       251         2
       252         0       252         2
       253         0       253         2
       254         0       254         2
       255         0       255         2
       256         1       256         2
       257         0       257         2
       258         0       258         2
       259         0       259         2
       260         0       260         2
       261         0       261         2
       262         0       262         2
       263         0       263         2
       264         0       264         2
       265         0       265         2
       266         0       266         2
       267         0       267         2
       268         0       268         2
       269         0       269         2
       270         0       270         2
       271         0       271         2
       272         0       272         2
       273         0       273         2
       274         0       274         2
       275         0       275         2
       276         0       276         2
       277         0       277         2
       278         0       278         2
       279         0       279         2
       280         0       280         2
       281         0       281         2
       282         0       282         2
       283         0       283         2
       284         0       284         2
       285         0       285         2
       286         0       286         2
       287         0       287         2
       288         0       288         2
       289         0       289         2
       290         0       290         2
       291         0       291         2
       292         0       292         2
       293         0       293         2
       294         0       294         2
       295         0       295         2
       296         0       296         2
       297         0       297         2
       298         0       298         2
       299         0       299         2
       300         0       300         2
       301         0       301         2
       302         0       302         2
       303         0       303         2
       304         0       304         2
       305         0       305         2
       306         0       306         2
       307         0       307         2
       308         0       308         2
       309         0       309         2
       310         0       310         2
       311         0       311         2
       312         0       312         2
       313         0       313         2
       314         0       314         2
       315         0       315         2
       316         0       316         2
       317         0       317         2
       318         0       318         2
       319         0       319         2
       320         0       320         2
       321         0       321         2
       322         0       322         2
       323         0       323         2
       324         0       324         2
       325         0       325         2
       326         0       326         2
       327         1       327         2
       328         0       328         2
       329         0       329         2
       330         0       330         2
       331         0       331         2
       332         0       332         2
       333         0       333         2
       334         0       334         2
       335         0       335         2
       336         0       336         2
       337         0       337         2
       338         0       338         2
       339         0       339         2
       340         0       340         2
       341         0       341         2
       342         0       342         2
       343         0       343         2
       344         0       344         2
       345         0       345         2
       346         0       346         2
       347         0       347         2
       348         0       348         2
       349         0       349         2
       350         0       350         2
       351         0       351         2
       352         0       352         2
       353         0       353         2
